,data size,granules number,relation type,ksi,accuracy
466,5000,200,t,0.55,1.0
467,5000,200,t,0.6,1.0
468,5000,200,t,0.65,1.0
469,5000,200,t,0.7,1.0
470,5000,200,t,0.75,1.0
471,5000,200,t,0.8,1.0
472,5000,200,t,0.85,1.0
473,5000,200,t,0.9,1.0
474,5000,200,t,0.95,1.0
475,5000,200,e,0.05,1.0
476,5000,200,e,0.1,1.0
477,5000,200,e,0.15,1.0
478,5000,200,e,0.2,1.0
479,5000,200,e,0.25,1.0
480,5000,200,e,0.3,1.0
481,5000,200,e,0.35,1.0
482,5000,200,e,0.4,1.0
483,5000,200,e,0.45,1.0
484,5000,200,e,0.5,1.0
485,5000,200,e,0.55,1.0
486,5000,200,e,0.6,1.0
487,5000,200,e,0.65,1.0
488,5000,200,e,0.7,1.0
489,5000,200,e,0.75,0.784
490,5000,200,e,0.8,1.0
491,5000,200,e,0.85,0.5328
492,5000,200,e,0.9,0.271
493,5000,200,e,0.95,0.5568
494,5000,200,g,0.05,1.0
495,5000,200,g,0.1,1.0
496,5000,200,g,0.15,1.0
497,5000,200,g,0.2,1.0
498,5000,200,g,0.25,1.0
499,5000,200,g,0.3,1.0
500,5000,200,g,0.35,1.0
501,5000,200,g,0.4,1.0
502,5000,200,g,0.45,1.0
503,5000,200,g,0.5,1.0
504,5000,200,g,0.55,1.0
505,5000,200,g,0.6,0.784
506,5000,200,g,0.65,0.784
507,5000,200,g,0.7,0.7338
508,5000,200,g,0.75,0.7172
509,5000,200,g,0.8,0.8312
510,5000,200,g,0.85,0.7082
511,5000,200,g,0.9,1.0
512,5000,200,g,0.95,0.289
513,10000,50,t,0.05,0.8319
514,10000,50,t,0.1,0.8319
515,10000,50,t,0.15,0.8319
516,10000,50,t,0.2,0.8319
517,10000,50,t,0.25,0.8319
518,10000,50,t,0.3,0.8319
519,10000,50,t,0.35,0.6681
520,10000,50,t,0.4,0.6681
521,10000,50,t,0.45,0.6681
522,10000,50,t,0.5,0.6681
523,10000,50,t,0.55,0.6681
524,10000,50,t,0.6,0.6681
525,10000,50,t,0.65,0.6681
526,10000,50,t,0.7,0.4978
527,10000,50,t,0.75,0.4345
528,10000,50,t,0.8,0.584
529,10000,50,t,0.85,0.5164
530,10000,50,t,0.9,0.5164
531,10000,50,t,0.95,0.9159
532,10000,50,e,0.05,0.8319
533,10000,50,e,0.1,0.6681
534,10000,50,e,0.15,0.8319
535,10000,50,e,0.2,0.8319
536,10000,50,e,0.25,0.8319
537,10000,50,e,0.3,0.6681
538,10000,50,e,0.35,0.6681
539,10000,50,e,0.4,0.6681
540,10000,50,e,0.45,0.6681
541,10000,50,e,0.5,0.4751
542,10000,50,e,0.55,0.584
543,10000,50,e,0.6,0.584
544,10000,50,e,0.65,0.7478
545,10000,50,e,0.7,0.7478
546,10000,50,e,0.75,0.416
547,10000,50,e,0.8,0.416
548,10000,50,e,0.85,0.3966
