,data size,granules number,relation type,ksi,accuracy
286,2000,200,t,0.1,1.0
287,2000,200,t,0.15,1.0
288,2000,200,t,0.2,1.0
289,2000,200,t,0.25,1.0
290,2000,200,t,0.3,1.0
291,2000,200,t,0.35,1.0
292,2000,200,t,0.4,1.0
293,2000,200,t,0.45,1.0
294,2000,200,t,0.5,1.0
295,2000,200,t,0.55,1.0
296,2000,200,t,0.6,1.0
297,2000,200,t,0.65,1.0
298,2000,200,t,0.7,1.0
299,2000,200,t,0.75,1.0
300,2000,200,t,0.8,1.0
301,2000,200,t,0.85,1.0
302,2000,200,t,0.9,1.0
303,2000,200,t,0.95,1.0
304,2000,200,e,0.05,1.0
305,2000,200,e,0.1,1.0
306,2000,200,e,0.15,1.0
307,2000,200,e,0.2,1.0
308,2000,200,e,0.25,1.0
309,2000,200,e,0.3,1.0
310,2000,200,e,0.35,1.0
311,2000,200,e,0.4,1.0
312,2000,200,e,0.45,1.0
313,2000,200,e,0.5,1.0
314,2000,200,e,0.55,1.0
315,2000,200,e,0.6,1.0
316,2000,200,e,0.65,1.0
317,2000,200,e,0.7,1.0
318,2000,200,e,0.75,1.0
319,2000,200,e,0.8,1.0
320,2000,200,e,0.85,1.0
321,2000,200,e,0.9,1.0
322,2000,200,e,0.95,1.0
323,2000,200,g,0.05,1.0
324,2000,200,g,0.1,1.0
325,2000,200,g,0.15,1.0
326,2000,200,g,0.2,1.0
327,2000,200,g,0.25,1.0
328,2000,200,g,0.3,1.0
329,2000,200,g,0.35,1.0
330,2000,200,g,0.4,1.0
331,2000,200,g,0.45,1.0
332,2000,200,g,0.5,1.0
333,2000,200,g,0.55,1.0
334,2000,200,g,0.6,1.0
335,2000,200,g,0.65,1.0
336,2000,200,g,0.7,1.0
337,2000,200,g,0.75,1.0
338,2000,200,g,0.8,1.0
339,2000,200,g,0.85,1.0
340,2000,200,g,0.9,1.0
341,2000,200,g,0.95,1.0
342,5000,50,t,0.05,1.0
343,5000,50,t,0.1,1.0
344,5000,50,t,0.15,1.0
345,5000,50,t,0.2,1.0
346,5000,50,t,0.25,1.0
347,5000,50,t,0.3,1.0
348,5000,50,t,0.35,1.0
349,5000,50,t,0.4,1.0
350,5000,50,t,0.45,1.0
351,5000,50,t,0.5,1.0
352,5000,50,t,0.55,1.0
353,5000,50,t,0.6,0.5358
354,5000,50,t,0.65,0.5358
355,5000,50,t,0.7,0.5358
356,5000,50,t,0.75,0.5358
357,5000,50,t,0.8,0.5358
358,5000,50,t,0.85,0.6514
359,5000,50,t,0.9,0.5358
360,5000,50,t,0.95,0.5358
361,5000,50,e,0.05,1.0
362,5000,50,e,0.1,1.0
363,5000,50,e,0.15,1.0
364,5000,50,e,0.2,1.0
365,5000,50,e,0.25,1.0
366,5000,50,e,0.3,1.0
367,5000,50,e,0.35,1.0
368,5000,50,e,0.4,1.0
369,5000,50,e,0.45,0.5358
370,5000,50,e,0.5,0.5358
371,5000,50,e,0.55,0.5358
372,5000,50,e,0.6,0.5358
373,5000,50,e,0.65,1.0
374,5000,50,e,0.7,0.6514
375,5000,50,e,0.75,0.6016
376,5000,50,e,0.8,0.5614
377,5000,50,e,0.85,0.6274
378,5000,50,e,0.9,0.6274
379,5000,50,e,0.95,0.7392
380,5000,50,g,0.05,1.0
381,5000,50,g,0.1,1.0
382,5000,50,g,0.15,1.0
383,5000,50,g,0.2,0.5358
384,5000,50,g,0.25,0.5358
385,5000,50,g,0.3,0.6514
386,5000,50,g,0.35,0.5358
387,5000,50,g,0.4,0.5614
388,5000,50,g,0.45,1.0
389,5000,50,g,0.5,0.6514
390,5000,50,g,0.55,0.6514
391,5000,50,g,0.6,0.592
392,5000,50,g,0.65,0.6016
393,5000,50,g,0.7,0.6016
394,5000,50,g,0.75,0.5614
395,5000,50,g,0.8,0.6274
396,5000,50,g,0.85,0.5576
397,5000,50,g,0.9,0.6274
398,5000,50,g,0.95,0.3866
399,5000,100,t,0.05,1.0
400,5000,100,t,0.1,1.0
401,5000,100,t,0.15,1.0
402,5000,100,t,0.2,1.0
403,5000,100,t,0.25,1.0
404,5000,100,t,0.3,1.0
405,5000,100,t,0.35,1.0
406,5000,100,t,0.4,1.0
407,5000,100,t,0.45,1.0
408,5000,100,t,0.5,1.0
409,5000,100,t,0.55,1.0
410,5000,100,t,0.6,1.0
411,5000,100,t,0.65,1.0
412,5000,100,t,0.7,1.0
413,5000,100,t,0.75,1.0
414,5000,100,t,0.8,1.0
415,5000,100,t,0.85,1.0
416,5000,100,t,0.9,1.0
417,5000,100,t,0.95,1.0
418,5000,100,e,0.05,1.0
419,5000,100,e,0.1,1.0
420,5000,100,e,0.15,1.0
421,5000,100,e,0.2,1.0
422,5000,100,e,0.25,1.0
423,5000,100,e,0.3,1.0
424,5000,100,e,0.35,1.0
425,5000,100,e,0.4,1.0
426,5000,100,e,0.45,1.0
427,5000,100,e,0.5,1.0
428,5000,100,e,0.55,1.0
429,5000,100,e,0.6,1.0
430,5000,100,e,0.65,1.0
431,5000,100,e,0.7,1.0
432,5000,100,e,0.75,1.0
433,5000,100,e,0.8,1.0
434,5000,100,e,0.85,0.6196
435,5000,100,e,0.9,1.0
436,5000,100,e,0.95,1.0
437,5000,100,g,0.05,1.0
438,5000,100,g,0.1,1.0
439,5000,100,g,0.15,1.0
440,5000,100,g,0.2,1.0
441,5000,100,g,0.25,1.0
442,5000,100,g,0.3,1.0
443,5000,100,g,0.35,1.0
444,5000,100,g,0.4,1.0
445,5000,100,g,0.45,1.0
446,5000,100,g,0.5,1.0
447,5000,100,g,0.55,1.0
448,5000,100,g,0.6,1.0
449,5000,100,g,0.65,1.0
450,5000,100,g,0.7,1.0
451,5000,100,g,0.75,1.0
452,5000,100,g,0.8,1.0
453,5000,100,g,0.85,0.6196
454,5000,100,g,0.9,1.0
455,5000,100,g,0.95,1.0
456,5000,200,t,0.05,1.0
457,5000,200,t,0.1,1.0
458,5000,200,t,0.15,1.0
459,5000,200,t,0.2,1.0
460,5000,200,t,0.25,1.0
461,5000,200,t,0.3,1.0
462,5000,200,t,0.35,1.0
463,5000,200,t,0.4,1.0
464,5000,200,t,0.45,1.0
465,5000,200,t,0.5,1.0
466,5000,200,t,0.55,1.0
467,5000,200,t,0.6,1.0
468,5000,200,t,0.65,1.0
469,5000,200,t,0.7,1.0
470,5000,200,t,0.75,1.0
471,5000,200,t,0.8,1.0
472,5000,200,t,0.85,1.0
473,5000,200,t,0.9,1.0
474,5000,200,t,0.95,1.0
475,5000,200,e,0.05,1.0
476,5000,200,e,0.1,1.0
477,5000,200,e,0.15,1.0
478,5000,200,e,0.2,1.0
479,5000,200,e,0.25,1.0
480,5000,200,e,0.3,1.0
481,5000,200,e,0.35,1.0
482,5000,200,e,0.4,1.0
483,5000,200,e,0.45,1.0
484,5000,200,e,0.5,1.0
485,5000,200,e,0.55,1.0
486,5000,200,e,0.6,1.0
487,5000,200,e,0.65,1.0
488,5000,200,e,0.7,1.0
489,5000,200,e,0.75,1.0
490,5000,200,e,0.8,1.0
491,5000,200,e,0.85,1.0
492,5000,200,e,0.9,1.0
493,5000,200,e,0.95,1.0
494,5000,200,g,0.05,1.0
495,5000,200,g,0.1,1.0
496,5000,200,g,0.15,1.0
497,5000,200,g,0.2,1.0
498,5000,200,g,0.25,1.0
499,5000,200,g,0.3,1.0
500,5000,200,g,0.35,1.0
501,5000,200,g,0.4,1.0
502,5000,200,g,0.45,1.0
503,5000,200,g,0.5,1.0
504,5000,200,g,0.55,1.0
505,5000,200,g,0.6,1.0
506,5000,200,g,0.65,1.0
507,5000,200,g,0.7,1.0
508,5000,200,g,0.75,1.0
509,5000,200,g,0.8,1.0
510,5000,200,g,0.85,1.0
511,5000,200,g,0.9,1.0
512,5000,200,g,0.95,1.0
513,10000,50,t,0.05,1.0
514,10000,50,t,0.1,1.0
515,10000,50,t,0.15,1.0
516,10000,50,t,0.2,1.0
517,10000,50,t,0.25,1.0
518,10000,50,t,0.3,0.7871
519,10000,50,t,0.35,0.429
520,10000,50,t,0.4,0.7871
521,10000,50,t,0.45,0.57
522,10000,50,t,0.5,0.57
523,10000,50,t,0.55,0.57
524,10000,50,t,0.6,0.5423
525,10000,50,t,0.65,0.6716
526,10000,50,t,0.7,0.6716
527,10000,50,t,0.75,0.6716
528,10000,50,t,0.8,0.6234
529,10000,50,t,0.85,0.6716
530,10000,50,t,0.9,0.6234
531,10000,50,t,0.95,0.6234
532,10000,50,e,0.05,1.0
533,10000,50,e,0.1,1.0
534,10000,50,e,0.15,1.0
535,10000,50,e,0.2,1.0
536,10000,50,e,0.25,0.7871
537,10000,50,e,0.3,1.0
538,10000,50,e,0.35,0.559
539,10000,50,e,0.4,0.57
540,10000,50,e,0.45,0.5423
541,10000,50,e,0.5,0.6716
542,10000,50,e,0.55,0.6234
543,10000,50,e,0.6,0.6234
544,10000,50,e,0.65,0.6234
545,10000,50,e,0.7,0.6234
546,10000,50,e,0.75,0.6716
547,10000,50,e,0.8,0.5322
548,10000,50,e,0.85,0.6716
549,10000,50,e,0.9,0.6716
550,10000,50,e,0.95,0.7105
551,10000,50,g,0.05,1.0
552,10000,50,g,0.1,0.429
553,10000,50,g,0.15,0.3539
554,10000,50,g,0.2,0.6716
555,10000,50,g,0.25,0.6716
556,10000,50,g,0.3,0.6716
