,data size,granules number,relation type,ksi,accuracy
220,2000,50,g,0.6,0.525
221,2000,50,g,0.65,0.551
222,2000,50,g,0.7,0.5025
223,2000,50,g,0.75,0.4685
224,2000,50,g,0.8,0.4685
225,2000,50,g,0.85,0.5415
226,2000,50,g,0.9,0.522
227,2000,50,g,0.95,0.55
228,2000,100,t,0.05,0.5935
229,2000,100,t,0.1,0.4525
230,2000,100,t,0.15,0.5385
231,2000,100,t,0.2,0.5935
232,2000,100,t,0.25,0.5385
233,2000,100,t,0.3,0.5385
234,2000,100,t,0.35,0.5385
235,2000,100,t,0.4,0.5935
236,2000,100,t,0.45,0.451
237,2000,100,t,0.5,0.431
238,2000,100,t,0.55,0.608
239,2000,100,t,0.6,0.649
240,2000,100,t,0.65,0.649
241,2000,100,t,0.7,0.498
242,2000,100,t,0.75,0.53
243,2000,100,t,0.8,0.714
244,2000,100,t,0.85,0.596
245,2000,100,t,0.9,0.4885
246,2000,100,t,0.95,0.547
247,2000,100,e,0.05,0.5935
248,2000,100,e,0.1,0.4525
249,2000,100,e,0.15,0.5385
250,2000,100,e,0.2,0.5935
251,2000,100,e,0.25,0.5385
252,2000,100,e,0.3,0.5935
253,2000,100,e,0.35,0.431
254,2000,100,e,0.4,0.431
255,2000,100,e,0.45,0.649
256,2000,100,e,0.5,0.5365
257,2000,100,e,0.55,0.714
258,2000,100,e,0.6,0.4885
259,2000,100,e,0.65,0.526
260,2000,100,e,0.7,0.5715
261,2000,100,e,0.75,0.4855
262,2000,100,e,0.8,0.5965
263,2000,100,e,0.85,0.527
264,2000,100,e,0.9,0.5255
265,2000,100,e,0.95,0.6955
266,2000,100,g,0.05,0.5385
267,2000,100,g,0.1,0.5935
268,2000,100,g,0.15,0.53
269,2000,100,g,0.2,0.431
270,2000,100,g,0.25,0.628
271,2000,100,g,0.3,0.5665
272,2000,100,g,0.35,0.5705
273,2000,100,g,0.4,0.526
274,2000,100,g,0.45,0.5665
275,2000,100,g,0.5,0.4755
276,2000,100,g,0.55,0.5715
277,2000,100,g,0.6,0.5715
278,2000,100,g,0.65,0.5485
279,2000,100,g,0.7,0.6145
280,2000,100,g,0.75,0.564
281,2000,100,g,0.8,0.587
282,2000,100,g,0.85,0.588
283,2000,100,g,0.9,0.5395
284,2000,100,g,0.95,0.5785
285,2000,200,t,0.05,0.346
