,data size,granules number,relation type,ksi,accuracy
308,2000,200,e,0.25,0.976
309,2000,200,e,0.3,0.9755
310,2000,200,e,0.35,0.978
311,2000,200,e,0.4,0.9755
312,2000,200,e,0.45,0.9615
313,2000,200,e,0.5,0.951
314,2000,200,e,0.55,0.984
315,2000,200,e,0.6,0.95
316,2000,200,e,0.65,0.9725
317,2000,200,e,0.7,0.961
318,2000,200,e,0.75,0.9725
319,2000,200,e,0.8,0.9725
320,2000,200,e,0.85,0.9575
321,2000,200,e,0.9,0.958
322,2000,200,e,0.95,0.964
323,2000,200,g,0.05,0.9725
324,2000,200,g,0.1,0.978
325,2000,200,g,0.15,0.9615
326,2000,200,g,0.2,0.951
327,2000,200,g,0.25,0.9725
328,2000,200,g,0.3,0.9585
329,2000,200,g,0.35,0.95
330,2000,200,g,0.4,0.9605
331,2000,200,g,0.45,0.9725
332,2000,200,g,0.5,0.9615
333,2000,200,g,0.55,0.9845
334,2000,200,g,0.6,0.978
335,2000,200,g,0.65,0.9335
336,2000,200,g,0.7,0.955
337,2000,200,g,0.75,0.973
338,2000,200,g,0.8,0.966
339,2000,200,g,0.85,0.955
340,2000,200,g,0.9,0.957
341,2000,200,g,0.95,0.967
342,5000,50,t,0.05,1.0
343,5000,50,t,0.1,1.0
344,5000,50,t,0.15,1.0
345,5000,50,t,0.2,1.0
346,5000,50,t,0.25,1.0
347,5000,50,t,0.3,1.0
348,5000,50,t,0.35,1.0
349,5000,50,t,0.4,1.0
350,5000,50,t,0.45,1.0
351,5000,50,t,0.5,1.0
352,5000,50,t,0.55,1.0
353,5000,50,t,0.6,1.0
354,5000,50,t,0.65,1.0
355,5000,50,t,0.7,1.0
356,5000,50,t,0.75,1.0
357,5000,50,t,0.8,1.0
358,5000,50,t,0.85,1.0
359,5000,50,t,0.9,1.0
360,5000,50,t,0.95,1.0
361,5000,50,e,0.05,1.0
362,5000,50,e,0.1,1.0
363,5000,50,e,0.15,1.0
364,5000,50,e,0.2,1.0
365,5000,50,e,0.25,1.0
366,5000,50,e,0.3,1.0
367,5000,50,e,0.35,1.0
368,5000,50,e,0.4,1.0
369,5000,50,e,0.45,1.0
370,5000,50,e,0.5,1.0
371,5000,50,e,0.55,1.0
372,5000,50,e,0.6,1.0
373,5000,50,e,0.65,1.0
374,5000,50,e,0.7,1.0
375,5000,50,e,0.75,1.0
376,5000,50,e,0.8,1.0
377,5000,50,e,0.85,1.0
378,5000,50,e,0.9,1.0
379,5000,50,e,0.95,1.0
380,5000,50,g,0.05,1.0
381,5000,50,g,0.1,1.0
382,5000,50,g,0.15,1.0
383,5000,50,g,0.2,1.0
384,5000,50,g,0.25,1.0
385,5000,50,g,0.3,1.0
386,5000,50,g,0.35,1.0
387,5000,50,g,0.4,1.0
388,5000,50,g,0.45,1.0
389,5000,50,g,0.5,1.0
390,5000,50,g,0.55,1.0
391,5000,50,g,0.6,1.0
392,5000,50,g,0.65,1.0
393,5000,50,g,0.7,1.0
394,5000,50,g,0.75,1.0
395,5000,50,g,0.8,1.0
396,5000,50,g,0.85,1.0
397,5000,50,g,0.9,1.0
398,5000,50,g,0.95,1.0
399,5000,100,t,0.05,1.0
400,5000,100,t,0.1,1.0
401,5000,100,t,0.15,1.0
402,5000,100,t,0.2,1.0
403,5000,100,t,0.25,1.0
404,5000,100,t,0.3,1.0
405,5000,100,t,0.35,1.0
406,5000,100,t,0.4,1.0
407,5000,100,t,0.45,1.0
408,5000,100,t,0.5,1.0
409,5000,100,t,0.55,1.0
410,5000,100,t,0.6,1.0
411,5000,100,t,0.65,1.0
412,5000,100,t,0.7,1.0
413,5000,100,t,0.75,1.0
414,5000,100,t,0.8,1.0
415,5000,100,t,0.85,1.0
416,5000,100,t,0.9,1.0
417,5000,100,t,0.95,1.0
418,5000,100,e,0.05,1.0
419,5000,100,e,0.1,1.0
420,5000,100,e,0.15,1.0
421,5000,100,e,0.2,1.0
422,5000,100,e,0.25,1.0
423,5000,100,e,0.3,1.0
424,5000,100,e,0.35,1.0
425,5000,100,e,0.4,1.0
426,5000,100,e,0.45,1.0
427,5000,100,e,0.5,1.0
428,5000,100,e,0.55,1.0
429,5000,100,e,0.6,1.0
430,5000,100,e,0.65,1.0
431,5000,100,e,0.7,1.0
432,5000,100,e,0.75,1.0
433,5000,100,e,0.8,1.0
434,5000,100,e,0.85,1.0
435,5000,100,e,0.9,1.0
436,5000,100,e,0.95,1.0
437,5000,100,g,0.05,1.0
438,5000,100,g,0.1,1.0
439,5000,100,g,0.15,1.0
440,5000,100,g,0.2,1.0
441,5000,100,g,0.25,1.0
442,5000,100,g,0.3,1.0
443,5000,100,g,0.35,1.0
444,5000,100,g,0.4,1.0
445,5000,100,g,0.45,1.0
446,5000,100,g,0.5,1.0
447,5000,100,g,0.55,1.0
448,5000,100,g,0.6,1.0
449,5000,100,g,0.65,1.0
450,5000,100,g,0.7,1.0
451,5000,100,g,0.75,1.0
452,5000,100,g,0.8,1.0
453,5000,100,g,0.85,1.0
454,5000,100,g,0.9,1.0
455,5000,100,g,0.95,1.0
456,5000,200,t,0.05,0.963
457,5000,200,t,0.1,0.963
458,5000,200,t,0.15,0.963
459,5000,200,t,0.2,0.963
460,5000,200,t,0.25,0.963
461,5000,200,t,0.3,0.963
462,5000,200,t,0.35,0.963
463,5000,200,t,0.4,0.963
464,5000,200,t,0.45,0.963
465,5000,200,t,0.5,0.9326
466,5000,200,t,0.55,0.963
467,5000,200,t,0.6,0.9326
468,5000,200,t,0.65,0.9326
469,5000,200,t,0.7,0.9326
470,5000,200,t,0.75,0.9374
471,5000,200,t,0.8,0.9354
472,5000,200,t,0.85,0.9386
473,5000,200,t,0.9,0.965
474,5000,200,t,0.95,0.969
475,5000,200,e,0.05,0.963
476,5000,200,e,0.1,0.963
477,5000,200,e,0.15,0.963
478,5000,200,e,0.2,0.9366
479,5000,200,e,0.25,0.963
480,5000,200,e,0.3,0.963
481,5000,200,e,0.35,0.963
482,5000,200,e,0.4,0.9366
483,5000,200,e,0.45,0.9366
484,5000,200,e,0.5,0.965
485,5000,200,e,0.55,0.965
486,5000,200,e,0.6,0.963
487,5000,200,e,0.65,0.963
488,5000,200,e,0.7,0.9678
489,5000,200,e,0.75,0.965
490,5000,200,e,0.8,0.9428
491,5000,200,e,0.85,0.9358
492,5000,200,e,0.9,0.9402
493,5000,200,e,0.95,0.9376
494,5000,200,g,0.05,0.963
495,5000,200,g,0.1,0.963
496,5000,200,g,0.15,0.963
497,5000,200,g,0.2,0.9326
498,5000,200,g,0.25,0.9326
499,5000,200,g,0.3,0.9326
500,5000,200,g,0.35,0.9406
501,5000,200,g,0.4,0.965
502,5000,200,g,0.45,0.9338
503,5000,200,g,0.5,0.9418
